WordItem,WordColor,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textBlank.started,textBlank.stopped,textStudyWord.started,textStudyWord.stopped,textWait.started,textWait.stopped,keyWait.keys,keyWait.rt,keyWait.started,keyWait.stopped,textWord.started,textWord.stopped,keyWord.keys,keyWord.rt,keyWord.started,keyWord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,9.963661699992372,None,space,5.528116900008172,9.963661699992372,None,,,,,,,,,,,,,,,,,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
,,,,,,,,,,,,,,,,30.542705999992904,None,28.613941299990984,None,31.048906500000157,None,v,6.432724500002223,31.048906500000157,None,,,,,,,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
JAKE,blue,,,,,0,0,0,4,,,,,,,41.37880599999335,None,,,,,,,,,37.54968119999103,None,y,3.8000371999951312,37.54968119999103,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
VARUNIL,green,,,,,0,1,1,0,,,,,,,42.62833429999591,None,,,,,,,,,41.926751899998635,None,n,0.6788601000007475,41.926751899998635,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
PARTH,None,,,,,0,2,2,12,,,,,,,43.633510400002706,None,,,,,,,,,43.17296559999522,None,y,0.42867380000825506,43.17296559999522,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
STANLEY,green,,,,,0,3,3,1,,,,,,,44.280006699991645,None,,,,,,,,,44.18166149999888,None,y,0.07851800000935327,44.18166149999888,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
UZZAL,None,,,,,0,4,4,6,,,,,,,44.836848099992494,None,,,,,,,,,44.81343979999656,None,y,0.0024453000078210607,44.81343979999656,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
BHAYAVA,None,,,,,0,5,5,7,,,,,,,45.567179799996666,None,,,,,,,,,45.38091809999605,None,n,0.15363470000738744,45.38091809999605,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
JAY,green,,,,,0,6,6,2,,,,,,,46.20063279999886,None,,,,,,,,,46.09459359999164,None,n,0.08190419999300502,46.09459359999164,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
KEVIN,None,,,,,0,7,7,11,,,,,,,47.06424459999835,None,,,,,,,,,46.73826220000046,None,y,0.2990686000121059,46.73826220000046,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
RESHMA,None,,,,,0,8,8,8,,,,,,,48.1659123999998,None,,,,,,,,,47.6182853999926,None,y,0.524359099988942,47.6182853999926,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
ISBAH,blue,,,,,0,9,9,5,,,,,,,52.464893800002756,None,,,,,,,,,48.7088739000028,None,y,3.7379213999956846,48.7088739000028,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
VIGNESH,blue,,,,,0,10,10,3,,,,,,,53.9815077999956,None,,,,,,,,,53.0116321999958,None,y,0.9444806999963475,53.0116321999958,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
NILESH,None,,,,,0,11,11,9,,,,,,,54.81395309999061,None,,,,,,,,,54.52248509999481,None,y,0.25997639998968225,54.52248509999481,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
JIMMY,None,,,,,0,12,12,10,,,,,,,55.4459693999961,None,,,,,,,,,55.34995239999262,None,y,0.062151199992513284,55.34995239999262,None,,001,2019_Nov_04_1334,Welcome1,3.2.4,60.36686149240094,
