Format Version,1.23,Take Name,Take 2019-12-02 01.58.03 PM_001 (1) full demo,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-02 03.00.20.782 PM,Total Frames in Take,3856,Total Exported Frames,3856,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1
,ID,"8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.486185,0.103798,-0.505418,-0.705268,-401.939362,701.514221,2395.030029,-0.660302,0.120183,0.138411,0.728285,499.776703,362.318481,650.386536,0.429857,-0.321165,0.840067,-0.079771,-641.090515,558.346741,977.893799
1,0.008333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.563589,-0.555301,0.523248,-0.316575,-637.592224,574.753723,974.005249,-0.694749,0.113959,0.143079,0.695605,497.308685,364.945557,644.712769,0.429857,-0.321165,0.840067,-0.079771,-641.090515,558.346741,977.893799
2,0.016667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.563589,-0.555301,0.523248,-0.316575,-637.592224,574.753723,974.005249,-0.647205,0.122486,0.140096,0.739253,494.661713,367.644196,640.179504,0.429857,-0.321165,0.840067,-0.079771,-641.090515,558.346741,977.893799
3,0.025000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.563589,-0.555301,0.523248,-0.316575,-637.592224,574.753723,974.005249,-0.531457,0.139279,0.128528,0.825612,492.391266,369.653595,634.742249,0.420881,-0.323384,0.843486,-0.082547,-650.598572,561.167969,963.848999
4,0.033333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.563589,-0.555301,0.523248,-0.316575,-637.592224,574.753723,974.005249,-0.547165,0.137246,0.130091,0.815383,489.793365,371.814789,629.655334,0.438800,-0.332476,0.834129,-0.033814,-656.207458,560.930847,958.853821
5,0.041667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.553785,-0.554362,0.532828,-0.319531,-649.815735,578.258911,955.334961,-0.605528,0.129424,0.136285,0.773312,487.188812,373.834473,624.454834,0.438800,-0.332476,0.834129,-0.033814,-656.207458,560.930847,958.853821
6,0.050000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.553785,-0.554362,0.532828,-0.319531,-649.815735,578.258911,955.334961,-0.665105,0.120167,0.142519,0.723107,484.246338,375.935577,619.628418,0.414225,-0.317266,0.848165,-0.091521,-659.133606,563.904602,949.595642
7,0.058333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.553785,-0.554362,0.532828,-0.319531,-649.815735,578.258911,955.334961,-0.687365,0.116554,0.144529,0.702179,481.722778,377.358948,613.904114,0.416961,-0.322084,0.846396,-0.077589,-662.793518,564.993774,944.752441
8,0.066667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.553785,-0.554362,0.532828,-0.319531,-649.815735,578.258911,955.334961,-0.811889,0.089867,0.153945,0.555932,478.892975,378.944855,608.485535,0.410990,-0.320531,0.849576,-0.081044,-665.522644,566.006409,939.993347
9,0.075000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.761988,0.630079,-0.099976,-0.111263,-263.975159,628.341919,2481.029541,0.546263,-0.551449,0.540223,-0.325054,-661.591125,581.945129,936.125183,-0.812918,0.090055,0.152623,0.554762,476.206238,380.239838,603.357544,0.410990,-0.320531,0.849576,-0.081044,-665.522644,566.006409,939.993347
10,0.083333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.020294,0.675696,0.668884,0.309221,-135.840012,387.758636,676.955811,0.546263,-0.551449,0.540223,-0.325054,-661.591125,581.945129,936.125183,-0.807311,0.092052,0.150571,0.563120,473.557953,381.457245,598.393799,0.408552,-0.321786,0.850002,-0.083873,-671.137817,567.946045,930.212036
